ID,Market_and_Exchange_Names,Report_Date_as_YYYY_MM_DD,YYYY Report Week WW,Contract_Market_Name,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Commodity Name,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,Open_Interest_Old,Open_Interest_Other,Change_in_Open_Interest_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Prod_Merc_Long_Other,Contract_Units,CFTC_SubGroup_Code,COMMODITY_NAME,COMMODITY_SUBGROUP_NAME,COMMODITY_GROUP_NAME
110322080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03/22/2011 12:00:00 AM,2011 Report Week 12,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"590,210","138,576","318,345","133,841","114,655","48,103","13,607","525,588","544,054","590,210",0,"-11,608","-8,332","-6,524",100,23.5,53.9,89.1,92.2,100,23.5,53.9,100,0,0,51,56,184,169,51,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110315080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03/15/2011 12:00:00 AM,2011 Report Week 11,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"601,818","134,080","325,939","131,238","114,609","49,223","12,860","533,920","550,578","601,818",0,"-7,547","-2,151","-14,698",100,22.3,54.2,88.7,91.5,100,22.3,54.2,100,0,0,50,57,185,172,50,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110308080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03-08-11 0:00,2011 Report Week 10,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"609,365","120,927","346,558","132,900","115,581","48,496","13,884","536,071","565,276","609,365",0,"10,729","1,507","10,219",100,19.8,56.9,88,92.8,100,19.8,56.9,100,0,0,46,55,175,170,46,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110301080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03-01-11 0:00,2011 Report Week 09,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"598,636","129,573","335,651","133,862","109,640","50,271","11,712","534,564","555,057","598,636",0,"-39,235","-30,463","-32,316",100,21.6,56.1,89.3,92.7,100,21.6,56.1,100,0,0,45,56,170,166,45,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110222080732F,SUGAR NO. 11 - ICE FUTURES U.S.,02/22/2011 12:00:00 AM,2011 Report Week 08,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"637,871","154,840","362,812","134,231","110,930","53,680","9,275","565,027","587,373","637,871",0,"-25,172","-19,969","-28,406",100,24.3,56.9,88.6,92.1,100,24.3,56.9,100,0,0,54,57,183,166,54,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110215080732F,SUGAR NO. 11 - ICE FUTURES U.S.,02/15/2011 12:00:00 AM,2011 Report Week 07,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"663,043","173,100","375,028","126,268","115,523","56,876","8,867","584,996","615,779","663,043",0,"9,814","6,469","6,313",100,26.1,56.6,88.2,92.9,100,26.1,56.6,100,0,0,60,60,193,169,60,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110208080732F,SUGAR NO. 11 - ICE FUTURES U.S.,02-08-11 0:00,2011 Report Week 06,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"653,229","159,404","355,784","107,765","114,080","64,424","13,674","578,527","609,466","653,229",0,"7,187","14,631","5,972",100,24.4,54.5,88.6,93.3,100,24.4,54.5,100,0,0,56,60,193,168,56,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110201080732F,SUGAR NO. 11 - ICE FUTURES U.S.,02-01-11 0:00,2011 Report Week 05,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"646,042","142,841","359,661","104,423","109,297","65,073","11,654","563,896","603,494","646,042",0,"26,905","18,486","26,895",100,22.1,55.7,87.3,93.4,100,22.1,55.7,100,0,0,59,63,197,172,59,63,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110125080732F,SUGAR NO. 11 - ICE FUTURES U.S.,01/25/2011 12:00:00 AM,2011 Report Week 04,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"619,137","150,175","340,291","100,537","109,714","61,554","8,672","545,410","576,599","619,137",0,"-1,781",108,-724,100,24.3,55,88.1,93.1,100,24.3,55,100,0,0,56,62,186,163,56,62,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110118080732F,SUGAR NO. 11 - ICE FUTURES U.S.,01/18/2011 12:00:00 AM,2011 Report Week 03,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"620,918","146,514","338,700","102,503","107,750","60,029","7,572","545,302","577,323","620,918",0,"3,447","6,189","6,376",100,23.6,54.5,87.8,93,100,23.6,54.5,100,0,0,53,60,185,163,53,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
